case_id,variant,status,selected_action,oracle_action,gross_recovered_subunits,natural_recovery_subunits,realized_action_cost_subunits,expected_value_subunits,realized_value_subunits,regret_subunits,guardrail_violation,latency_ms
case_syn_002029,rules,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,550725,0,3800,,546925,0,0,0.0016999999843392288
case_syn_002030,rules,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,190295,0,3800,,186495,2500,0,0.0015999999050109182
case_syn_002031,rules,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,238918,0,3800,,235118,0,0,0.0016999999843392288
case_syn_002032,rules,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,891402,0,3800,,887602,2500,0,0.0016999999843392288
case_syn_002033,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,670364,3800,,-674164,674164,0,0.0019999999949504854
case_syn_002034,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.001799999836293864
case_syn_002035,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.001799999836293864
case_syn_002036,rules,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,,0,1421,0,0.0018999999156221747
case_syn_002037,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.004900000021734741
case_syn_002038,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.002100000074278796
case_syn_002039,rules,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,,0,3011,0,0.001500000053056283
case_syn_002040,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.001500000053056283
case_syn_002041,rules,NO_ACTION,NO_ACTION,NO_ACTION,2206,2206,0,,0,0,0,0.0016000001323845936
case_syn_002042,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.0014999998256826075
case_syn_002043,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.001500000053056283
case_syn_002044,rules,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,,0,0,0,0.0013999999737279722
case_syn_002045,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,459694,0,0.0019000001429958502
case_syn_002046,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,648177,0,0.001500000053056283
case_syn_002047,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,681227,0,0.0016000001323845936
case_syn_002048,rules,ACTION_READY,RETRY_LATER,NO_ACTION,351334,351334,1300,,-1300,1300,0,0.0015999999050109182
case_syn_002049,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,735754,1300,,-737054,737054,0,0.0016999999843392288
case_syn_002050,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,160458,0,0.0015999999050109182
case_syn_002051,rules,ACTION_READY,RETRY_LATER,ONE_BOUNDED_NUDGE,0,0,1300,,-1300,488175,0,0.0015999999050109182
case_syn_002052,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,832223,1300,,-833523,833523,0,0.001500000053056283
case_syn_002053,rules,ACTION_READY,RETRY_LATER,NO_ACTION,0,0,1300,,-1300,1300,0,0.0015999999050109182
case_syn_002054,rules,ACTION_READY,RETRY_LATER,STANDARD_PAYMENT_LINK,0,0,1300,,-1300,708290,0,0.0016000001323845936
case_syn_002055,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.0018000000636675395
case_syn_002056,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.0019999999949504854
case_syn_002057,rules,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,,-3800,203643,0,0.001500000053056283
case_syn_002058,rules,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,,-3800,189131,0,0.0016000001323845936
case_syn_002059,rules,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,,-3800,3800,0,0.0013999999737279722
case_syn_002000,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,573473,0,1.6895999999633204
case_syn_002001,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,602644,0,0.9276000000681961
case_syn_002002,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,688435,0,0.9374999999636202
case_syn_002003,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,96933,0,0.9390999998686311
case_syn_002004,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9620999999242486
case_syn_002005,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,495928,0,0.9190000000671716
case_syn_002006,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,191045,0,0.8377000001473789
case_syn_002007,single_model,NO_ACTION,NO_ACTION,NO_ACTION,583455,583455,0,0,0,0,0,0.8932000000640983
case_syn_002008,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9286999998039391
case_syn_002009,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,269946,0,1.001599999881364
case_syn_002010,single_model,NO_ACTION,NO_ACTION,NO_ACTION,398736,398736,0,0,0,0,0,0.8573999998588988
case_syn_002011,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,742714,0,0.9067999999388121
case_syn_002012,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8430000000316795
case_syn_002013,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,783205,0,0.8553999998639483
case_syn_002014,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,859572,0,0.8838000001105684
case_syn_002015,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,876277,0,0.8538000001863111
case_syn_002016,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,165373,0,0.8706999999503751
case_syn_002017,single_model,NO_ACTION,NO_ACTION,NO_ACTION,258667,258667,0,0,0,0,0,0.9120000001985318
case_syn_002018,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8428999999523512
case_syn_002019,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,137032,0,0.8321000000250933
case_syn_002020,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,37161,0,0.8817000000362896
case_syn_002021,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8560000001125445
case_syn_002022,single_model,NO_ACTION,NO_ACTION,NO_ACTION,282779,282779,0,0,0,0,0,0.876099999914004
case_syn_002023,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,112154,0,0.8500000001276931
case_syn_002024,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8464999998523126
case_syn_002025,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,810697,0,0.8791000000201166
case_syn_002026,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,223552,0,0.9139999999661086
case_syn_002027,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,463667,0,0.8745000000089931
case_syn_002028,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8454999999685242
case_syn_002029,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,546925,0,0.8599000000231172
case_syn_002030,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,188995,0,0.8809999999357387
case_syn_002031,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,235118,0,0.8505999999215419
case_syn_002032,single_model,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,890102,0,0.8569999999963329
case_syn_002033,single_model,NO_ACTION,NO_ACTION,NO_ACTION,670364,670364,0,0,0,0,0,0.8998999999221269
case_syn_002034,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8622000000286789
case_syn_002035,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.872099999924103
case_syn_002036,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,1421,0,0.9511000000657077
case_syn_002037,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.977100000000064
case_syn_002038,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,1.0812000000441913
case_syn_002039,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,3011,0,0.8536999998796091
case_syn_002040,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8752999999614985
case_syn_002041,single_model,NO_ACTION,NO_ACTION,NO_ACTION,2206,2206,0,0,0,0,0,0.8488999999372027
case_syn_002042,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8754999998927815
case_syn_002043,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8432000001903361
case_syn_002044,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8900999998786574
case_syn_002045,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,458394,0,0.8623000001080072
case_syn_002046,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,646877,0,0.8479000000534143
case_syn_002047,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,679927,0,0.8617000000867847
case_syn_002048,single_model,NO_ACTION,NO_ACTION,NO_ACTION,351334,351334,0,0,0,0,0,0.8564000002024841
case_syn_002049,single_model,NO_ACTION,NO_ACTION,NO_ACTION,735754,735754,0,0,0,0,0,0.8640999999443011
case_syn_002050,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,159158,0,0.8500999999796477
case_syn_002051,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,486875,0,0.8780999999089545
case_syn_002052,single_model,NO_ACTION,NO_ACTION,NO_ACTION,832223,832223,0,0,0,0,0,0.8993999999802327
case_syn_002053,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8486000001539651
case_syn_002054,single_model,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,706990,0,0.9732000000894914
case_syn_002055,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,1.0362000000441185
case_syn_002056,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9494999999333231
case_syn_002057,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,199843,0,0.8571999999276159
case_syn_002058,single_model,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,185331,0,0.8704000001671375
case_syn_002059,single_model,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8447000000160187
case_syn_002000,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,577273,0,3800,134034,573473,0,0,1.1148999999477383
case_syn_002001,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,0,0,3800,140273,-3800,606444,0,0.9362000000692206
case_syn_002002,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,689735,0,3800,160378,685935,2500,0,0.9663000000728061
case_syn_002003,full_recourse,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,96933,0,0.9136000001035427
case_syn_002004,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,52198,-3800,3800,0,0.957699999844408
case_syn_002005,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,115967,-3800,499728,0,0.8991000001969951
case_syn_002006,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,43870,-3800,194845,0,0.8927999999741587
case_syn_002007,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,583455,583455,3800,135480,-3800,3800,0,0.930400000015652
case_syn_002008,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,1.0455999999976484
case_syn_002009,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,271246,0,3800,62078,267446,2500,0,1.069299999926443
case_syn_002010,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,398736,3800,92220,-402536,402536,0,0.8892999999261519
case_syn_002011,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,744014,0,3800,173145,740214,2500,0,0.9328000001005421
case_syn_002012,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,127961,-3800,3800,0,0.8784000001469394
case_syn_002013,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,0,0,3800,182700,-3800,787005,0,0.8728999998766085
case_syn_002014,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,0,0,3800,200813,-3800,863372,0,0.8715000001302542
case_syn_002015,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,877577,0,3800,204793,873777,2500,0,0.8855000000949076
case_syn_002016,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,0,0,3800,37007,-3800,169173,0,0.9282999999413732
case_syn_002017,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,258667,3800,59081,-262467,262467,0,0.8791000000201166
case_syn_002018,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,187109,-3800,3800,0,0.8678000001509645
case_syn_002019,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,138332,0,3800,30146,134532,2500,0,0.8652999999867461
case_syn_002020,full_recourse,NO_ACTION,NO_ACTION,RETRY_LATER,0,0,0,0,0,37161,0,0.9079999999812571
case_syn_002021,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,199077,-3800,3800,0,0.8945999998104526
case_syn_002022,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,282779,3800,64821,-286579,286579,0,0.886499999978696
case_syn_002023,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,115954,0,3800,24707,112154,0,0,0.8708000000297034
case_syn_002024,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8609999999862339
case_syn_002025,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,811997,0,3800,189206,808197,2500,0,0.8769000000938831
case_syn_002026,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,227352,0,3800,51599,223552,0,0,0.8576999998695101
case_syn_002027,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,464967,0,3800,107759,461167,2500,0,0.8768000000145548
case_syn_002028,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,144661,-3800,3800,0,0.8841999999731343
case_syn_002029,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,550725,0,3800,127825,546925,0,0,0.8731000000352651
case_syn_002030,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,190295,0,3800,42703,186495,2500,0,0.8902000001853594
case_syn_002031,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,238918,0,3800,54366,235118,0,0,0.895700000000943
case_syn_002032,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,RETRY_LATER,891402,0,3800,208091,887602,2500,0,0.8827999999994063
case_syn_002033,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,670364,3800,155832,-674164,674164,0,0.8981999999377877
case_syn_002034,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,115379,-3800,3800,0,0.8815000001050066
case_syn_002035,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9342000000742701
case_syn_002036,full_recourse,NO_ACTION,NO_ACTION,STANDARD_PAYMENT_LINK,0,0,0,0,0,1421,0,1.1540000000422879
case_syn_002037,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9113999999499356
case_syn_002038,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9044000000812957
case_syn_002039,full_recourse,NO_ACTION,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,3011,0,0.8849999999256397
case_syn_002040,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8751000000302156
case_syn_002041,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,2206,2206,0,0,0,0,0,0.8636000000024069
case_syn_002042,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.885100000004968
case_syn_002043,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8800000000519503
case_syn_002044,full_recourse,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.9067000000868575
case_syn_002045,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,462194,0,3800,107110,458394,0,0,0.8810000001631124
case_syn_002046,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,650677,0,3800,151216,646877,0,0,0.9222000001045672
case_syn_002047,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,683727,0,3800,158968,679927,0,0,0.882699999920078
case_syn_002048,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,351334,3800,81056,-355134,355134,0,0.8777999998983432
case_syn_002049,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,735754,735754,3800,171199,-3800,3800,0,0.917700000172772
case_syn_002050,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,36182,-3800,162958,0,0.8748000000196043
case_syn_002051,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,ONE_BOUNDED_NUDGE,0,0,3800,113848,-3800,490675,0,0.8691999998973188
case_syn_002052,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,832223,3800,194003,-836023,836023,0,0.8881999999630352
case_syn_002053,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,NO_ACTION,0,0,3800,136265,-3800,3800,0,0.9374999999636202
case_syn_002054,full_recourse,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,710790,0,3800,165325,706990,0,0,1.0582999998405285
case_syn_002055,full_recourse,HUMAN_REVIEW,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,1.3561999999183172
case_syn_002056,full_recourse,HUMAN_REVIEW,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8998999999221269
case_syn_002057,full_recourse,HUMAN_REVIEW,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,199843,0,0.8737999999084423
case_syn_002058,full_recourse,HUMAN_REVIEW,NO_ACTION,ONE_BOUNDED_NUDGE,0,0,0,0,0,185331,0,0.8732999999665481
case_syn_002059,full_recourse,HUMAN_REVIEW,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0.8689999999660358
case_syn_002000,oracle,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,577273,0,3800,573473,573473,0,0,0
case_syn_002001,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,603944,0,1300,602644,602644,0,0,0
case_syn_002002,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,689735,0,1300,688435,688435,0,0,0
case_syn_002003,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,98233,0,1300,96933,96933,0,0,0
case_syn_002004,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002005,oracle,ACTION_READY,ONE_BOUNDED_NUDGE,ONE_BOUNDED_NUDGE,500028,0,4100,495928,495928,0,0,0
case_syn_002006,oracle,ACTION_READY,ONE_BOUNDED_NUDGE,ONE_BOUNDED_NUDGE,195145,0,4100,191045,191045,0,0,0
case_syn_002007,oracle,NO_ACTION,NO_ACTION,NO_ACTION,583455,583455,0,0,0,0,0,0
case_syn_002008,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002009,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,271246,0,1300,269946,269946,0,0,0
case_syn_002010,oracle,NO_ACTION,NO_ACTION,NO_ACTION,398736,398736,0,0,0,0,0,0
case_syn_002011,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,744014,0,1300,742714,742714,0,0,0
case_syn_002012,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002013,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,784505,0,1300,783205,783205,0,0,0
case_syn_002014,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,860872,0,1300,859572,859572,0,0,0
case_syn_002015,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,877577,0,1300,876277,876277,0,0,0
case_syn_002016,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,166673,0,1300,165373,165373,0,0,0
case_syn_002017,oracle,NO_ACTION,NO_ACTION,NO_ACTION,258667,258667,0,0,0,0,0,0
case_syn_002018,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002019,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,138332,0,1300,137032,137032,0,0,0
case_syn_002020,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,38461,0,1300,37161,37161,0,0,0
case_syn_002021,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002022,oracle,NO_ACTION,NO_ACTION,NO_ACTION,282779,282779,0,0,0,0,0,0
case_syn_002023,oracle,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,115954,0,3800,112154,112154,0,0,0
case_syn_002024,oracle,NO_ACTION,NO_ACTION,NO_ACTION,0,0,0,0,0,0,0,0
case_syn_002025,oracle,ACTION_READY,RETRY_LATER,RETRY_LATER,811997,0,1300,810697,810697,0,0,0
case_syn_002026,oracle,ACTION_READY,STANDARD_PAYMENT_LINK,STANDARD_PAYMENT_LINK,227352,0,3800,223552,223552,0,0,0
